噪声水平,CSI,MBRI,MAC,Structural,RIC-avg
σ=0.1,1.0,0.5843,0.5378,0.5549,0.4196
σ=0.3,1.0,0.6173,0.5808,0.6092,0.4221
σ=0.5,1.0,0.687,0.5991,0.6572,0.429


