模型变体,CSI,MBRI,MAC,Structural,RIC-avg
CARL (Full),1.0,0.6344,0.5451,0.6062,0.4193
w/o LCI,0.25,0.6279,0.8368,0.3996,0.4385
w/o LMBR,1.0,0.6178,0.5539,0.6065,0.4291
w/o LMAC,1.0,0.6485,0.542,0.6087,0.4261
Only Lalign,0.25,0.664,0.8943,0.5635,0.4919
