方法,CSI,MBRI,MAC,Structural,RIC-avg
CARL,1.0,0.6344,0.5451,0.6062,0.4193
ALIGN,0.25,0.5959,0.452,0.3963,0.4321
CLIP,0.25,0.3846,0.2012,0.2592,0.3345
ImageBind,0.25,0.3188,0.2717,0.261,0.3421
DCCA,0.25,0.3925,0.4895,0.3398,0.4024
IRM,0.25,0.4581,0.4512,0.3192,0.4307
CausalVAE,0.25,0.464,0.4861,0.3655,0.5139
DEAR,0.25,0.4823,0.4639,0.3565,0.4549
Concat,nan,nan,nan,nan,nan
