模型变体,CSI,MBRI,MAC,Structural,RIC-avg
基线(无Style/IB),1.0000,0.6326,0.5697,0.6120,0.4374
+ Style (风格一致性),1.0000,0.6445,0.5614,0.6107,0.4249
+ IB (信息瓶颈),1.0000,0.6247,0.5738,0.6113,0.4364
+ Style + IB (全量),1.0000,0.6454,0.5576,0.6103,0.4249
